Product URL,Total Ads,Search URL
"https://mercadovives.store/products/drone-dual-camera-4k-998-pro-wifi",0,"https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=CL&is_targeted_country=false&media_type=all&q=mercadovives.store+drone+dual+camera+4k+998+pro+wifi&search_type=keyword_unordered&start_date%5Bmin%5D=2024-12-13&start_date%5Bmax%5D=2024-12-25"
"https://latinaexpresschile.com/products/taladro-kit-accesorios",0,"https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=CL&is_targeted_country=false&media_type=all&q=latinaexpresschile.com+taladro+kit+accesorios&search_type=keyword_unordered&start_date%5Bmin%5D=2024-12-13&start_date%5Bmax%5D=2024-12-25"
"https://cl.zvtgbi.com/rMG21tPn?fpxl=935382838460862",0,"https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=CL&is_targeted_country=false&media_type=all&q=cl.zvtgbi.com+rMG21tPn%3Ffpxl%3D935382838460862&search_type=keyword_unordered&start_date%5Bmin%5D=2024-12-13&start_date%5Bmax%5D=2024-12-25"
"https://tiendalatinaclickmax.com/products/taladro-kit-accesorios",0,"https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=CL&is_targeted_country=false&media_type=all&q=tiendalatinaclickmax.com+taladro+kit+accesorios&search_type=keyword_unordered&start_date%5Bmin%5D=2024-12-13&start_date%5Bmax%5D=2024-12-25"
"https://tokizen.com/products/sellador-adhesivo-impermeable-300gr-pack-de-2-unidades-brocha-de-regalo",1,"https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=CL&is_targeted_country=false&media_type=all&q=tokizen.com+sellador+adhesivo+impermeable+300gr+pack+de+2+unidades+brocha+de+regalo&search_type=keyword_unordered&start_date%5Bmin%5D=2024-12-13&start_date%5Bmax%5D=2024-12-25"
"https://go.kustodia.cl/instalacion-gratis/",14,"https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=CL&is_targeted_country=false&media_type=all&q=go.kustodia.cl+instalacion+gratis&search_type=keyword_unordered&start_date%5Bmin%5D=2024-12-13&start_date%5Bmax%5D=2024-12-25"
"https://beautypluss.store/products/milagroso-elixir",3,"https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=CL&is_targeted_country=false&media_type=all&q=beautypluss.store+milagroso+elixir&search_type=keyword_unordered&start_date%5Bmin%5D=2024-12-13&start_date%5Bmax%5D=2024-12-25"
"https://chiletopia.com/products/combo-pechera-m10-y68",0,"https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=CL&is_targeted_country=false&media_type=all&q=chiletopia.com+combo+pechera+m10+y68&search_type=keyword_unordered&start_date%5Bmin%5D=2024-12-13&start_date%5Bmax%5D=2024-12-25"
"https://beautypluss.store/products/elixir-crecimiento",5,"https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=CL&is_targeted_country=false&media_type=all&q=beautypluss.store+elixir+crecimiento&search_type=keyword_unordered&start_date%5Bmin%5D=2024-12-13&start_date%5Bmax%5D=2024-12-25"
"http://www.andresinter.cl/",1,"https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=CL&is_targeted_country=false&media_type=all&q=www.andresinter.cl+www.andresinter.cl&search_type=keyword_unordered&start_date%5Bmin%5D=2024-12-13&start_date%5Bmax%5D=2024-12-25"
"https://altirocabro.com/products/caja-misteriosa?variant=47724042223920",0,"https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=CL&is_targeted_country=false&media_type=all&q=altirocabro.com+caja+misteriosa%3Fvariant%3D47724042223920&search_type=keyword_unordered&start_date%5Bmin%5D=2024-12-13&start_date%5Bmax%5D=2024-12-25"
"https://andresinter.cl/tienda/",2,"https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=CL&is_targeted_country=false&media_type=all&q=andresinter.cl+tienda&search_type=keyword_unordered&start_date%5Bmin%5D=2024-12-13&start_date%5Bmax%5D=2024-12-25"
"https://tokizen.com/products/lapiz-masajeador-de-acupuntura",2,"https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=CL&is_targeted_country=false&media_type=all&q=tokizen.com+lapiz+masajeador+de+acupuntura&search_type=keyword_unordered&start_date%5Bmin%5D=2024-12-13&start_date%5Bmax%5D=2024-12-25"
"https://serenivida.net/products/hombrera-de-compresion-vitalfix%E2%84%A2%EF%B8%8F",25,"https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=CL&is_targeted_country=false&media_type=all&q=serenivida.net+hombrera+de+compresion+vitalfix&search_type=keyword_unordered&start_date%5Bmin%5D=2024-12-13&start_date%5Bmax%5D=2024-12-25"
"https://tumaquinadepago.cl/",1,"https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=CL&is_targeted_country=false&media_type=all&q=tumaquinadepago.cl+tumaquinadepago.cl&search_type=keyword_unordered&start_date%5Bmin%5D=2024-12-13&start_date%5Bmax%5D=2024-12-25"
"https://quickmarketcl.shop/products/spray-3-en-1",11,"https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=CL&is_targeted_country=false&media_type=all&q=quickmarketcl.shop+spray+3+en+1&search_type=keyword_unordered&start_date%5Bmin%5D=2024-12-13&start_date%5Bmax%5D=2024-12-25"
"https://chiletopia.com/products/carillas-dentales-copia",0,"https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=CL&is_targeted_country=false&media_type=all&q=chiletopia.com+carillas+dentales+copia&search_type=keyword_unordered&start_date%5Bmin%5D=2024-12-13&start_date%5Bmax%5D=2024-12-25"
